#pos.x,pos.y,pos.z,vel.x,vel.y,vel.z,acc.x,acc.y,acc.z,rot.x,rot.y,rot.z,w.x,w.y,w.z
#[m],[m],[m],[m/s],[m/s],[m/s],[m/s^2],[m/s^2],[m/s^2],[deg],[deg],[deg],[deg/s],[deg/s],[deg/s]
0,0,0,0,0,0,0.002204223,0.001411217,-0.003824861,0,0,0,0.403209051,0.07259372,0.161802733
0,0,0,0,0,0,-0.000333824,0.001473344,-0.004255995,0,0,0,0.375779696,0.033363303,0.130771394
0,0,0,0,0,0,-0.006069067,0.00288284,0.007229899,0,0,0,0.341295698,-0.051086663,0.086857666
0,0,0,0,0,0,-0.00121029,0.001203352,0.004480439,0,0,0,0.289117958,-0.115643935,0.099778138
0,0,0,0,0,0,0.004354492,-0.002723073,-0.003481539,0,0,0,0.257988816,-0.16002887,0.066131437
0,0,0,0,0,0,-0.000671817,-0.00339078,0.00239808,0,0,0,0.139061374,-0.190435564,0.068593945
0,0,0,0,0,0,-0.004343569,-0.003733395,0.00492934,0,0,0,0.120720543,-0.205735098,0.077720073
0,0,0,0,0,0,-0.001781582,-0.00517698,0.005556571,0,0,0,0.095035012,-0.207386621,0.056283022
0,0,0,0,0,0,-0.002392891,-0.003941081,-0.001129278,0,0,0,0.073465019,-0.207686969,0.04848894
0,0,0,0,0,0,0.001925244,-0.001955648,-0.001750787,0,0,0,0.038324335,-0.191404532,0.065349417
0,0,0,0,0,0,0.000709127,-0.000281959,-0.00110195,0,0,0,-0.004440581,-0.144985558,0.044324372
0,0,0,0,0,0,0.004428624,0.001238896,-0.006154834,0,0,0,-0.052468752,-0.076497189,-0.033383637
0,0,0,0,0,0,0.003816782,0.000230313,0.002283766,0,0,0,-0.058566441,-0.122012224,-0.057633191
0,0,0,0,0,0,0.005548036,-0.003493665,0.004628127,0,0,0,-0.091384448,-0.200051854,-0.076415384
0,0,0,0,0,0,0.001594275,-0.001675682,0.000479882,0,0,0,-0.114423313,-0.244401289,-0.079654314
0,0,0,0,0,0,-0.00116827,-0.001715071,0.006563267,0,0,0,-0.087407989,-0.218775137,-0.116293647
0,0,0,0,0,0,-0.006276884,-0.000253989,0.001959539,0,0,0,-0.112185221,-0.156263457,-0.129364493
0,0,0,0,0,0,-0.005610572,-0.00368449,-0.002988482,0,0,0,-0.128864014,-0.020023765,-0.116273345
