#pos.x,pos.y,pos.z,vel.x,vel.y,vel.z,acc.x,acc.y,acc.z,rot.x,rot.y,rot.z,w.x,w.y,w.z
#[m],[m],[m],[m/s],[m/s],[m/s],[m/s^2],[m/s^2],[m/s^2],[deg],[deg],[deg],[deg/s],[deg/s],[deg/s]
0.8995723857,0.1736012862,0.4706040092,0.3792461291,0.300407937,0.8684989546,0.7447294185,0.7110870239,0.8919679122,0.1612434185,0.4199048841,0.586170398,0.4177766156,0.3527452757,0.0798362383
0.5434720532,0.9081486701,0.2864371178,0.3784520131,0.695614818,0.1291556947,0.192416041,0.0646671037,0.3940660323,0.6221778116,0.3080242032,0.7084905534,0.8347220157,0.120062646,0.9890009304
0.7871448508,0.4547630467,0.1148711713,0.9592189905,0.1876629375,0.0334816828,0.7263751259,0.7913107827,0.4662999827,0.7721748861,0.7315193783,0.9955504214,0.7905351171,0.9609567834,0.3033101415
0.1011621996,0.9613841401,0.3962167848,0.8898806113,0.4384527383,0.9752110798,0.1774769394,0.618171737,0.178105477,0.3356143163,0.0990357698,0.3065301155,0.6266445381,0.4822868157,0.8921001367
0.3170376637,0.9336398299,0.9200577068,0.1428421257,0.4611606251,0.4127827265,0.7994752343,0.3368508914,0.7056234474,0.4819235891,0.5952626761,0.3480868521,0.8421087301,0.2707947835,0.8758386649
0.7493530325,0.1754590733,0.9745187761,0.7920153574,0.6410844862,0.071392364,0.4199398779,0.4075369273,0.3784539026,0.3655353764,0.508075215,0.7067405454,0.7084321269,0.5740037732,0.2111865341
0.5818411426,0.8372004653,0.0414741494,0.6005233083,0.3108091331,0.1914838418,0.8637000602,0.1104685855,0.0323501928,0.9840727541,0.0880868096,0.0623471465,0.4328074069,0.5766138872,0.6479053441
0.6044063513,0.0346653951,0.8324620834,0.8454316017,0.8484751414,0.5998239737,0.4212509452,0.4686637666,0.4881404002,0.5461546621,0.5741738905,0.7257962936,0.6904307876,0.343129255,0.1456237029
0.4366777046,0.7478682534,0.3688650579,0.4996378431,0.4108387168,0.5943076019,0.2749377447,0.2667212938,0.9842826925,0.4555198951,0.789732634,0.0796543225,0.9994174955,0.9427037607,0.1688952959
0.66832434,0.0556821219,0.6252322277,0.1414565809,0.0670285947,0.3949968334,0.8691723342,0.0784132795,0.1693715764,0.9516065149,0.0036276813,0.2050909904,0.7946384975,0.2677903822,0.4820486536
0.9308152106,0.1524788456,0.7373178308,0.965777123,0.3786771803,0.0588390803,0.5423942312,0.9384941257,0.4589575091,0.7836710428,0.4234510194,0.8832966837,0.7223648316,0.5730746726,0.3162983673
0.1276107135,0.1289717101,0.488349896,0.3651741197,0.4117778271,0.396704508,0.3933105868,0.9116446528,0.3819010979,0.9273878572,0.7477351345,0.9708189794,0.9135589366,0.602944821,0.1789382457
0.869451086,0.539802579,0.639777155,0.3179309684,0.9041211114,0.0901011034,0.1620358091,0.4808250206,0.8137955149,0.851287542,0.860820203,0.892964952,0.3876392539,0.263147584,0.1345210862
0.7333146256,0.3842678413,0.4307693185,0.3698212827,0.9844861463,0.8208734822,0.6764933154,0.5071452137,0.1914333684,0.0588888109,0.9946111906,0.7367754328,0.8162848749,0.4049050126,0.715045628
0.3689280616,0.4820788029,0.3903845489,0.5842036356,0.6469264718,0.2745395024,0.6906448462,0.163425917,0.6337162229,0.7913217258,0.0043011646,0.0860583148,0.6216898213,0.7562039664,0.0425716138
0.9030458009,0.8037086701,0.9008073868,0.0990604475,0.1093446498,0.618216506,0.7465861868,0.4402613439,0.8126264965,0.5474255913,0.5786420739,0.2794816748,0.430372842,0.3901465669,0.941110102
0.3111530568,0.3014156914,0.2776867995,0.5733798881,0.5717155795,0.9288382616,0.4085297934,0.1853269635,0.6833727251,0.599360934,0.9880693851,0.5322392443,0.7254812816,0.9797888531,0.7960989213
0.2525016203,0.0696592569,0.5461256156,0.9362187665,0.693799244,0.8200389304,0.141397827,0.1405727657,0.0830926222,0.8178674641,0.8878990797,0.1412671683,0.3605318046,0.6975975542,0.6168572323
0.9664488482,0.0996860707,0.7131711477,0.1709185127,0.0076972053,0.3214979588,0.4373705067,0.7080443795,0.4450694652,0.4356779588,0.8721444301,0.8461197201,0.7046645931,0.1003463456,0.8271223351
0.6812282589,0.8698318724,0.4631791381,0.7458571698,0.7400746113,0.2713391467,0.5535542925,0.2282001223,0.5416017233,0.878621325,0.2945382451,0.8996001207,0.8034936933,0.1772074254,0.4530827191
0.6980766738,0.0480353716,0.972055118,0.2942380221,0.9360066249,0.1534320341,0.8409809622,0.2810786239,0.2576628163,0.5014978526,0.8112131939,0.9052362717,0.452055424,0.1587206059,0.6812477815
0.1233492386,0.6314761083,0.0121486218,0.2558062674,0.3646590456,0.247707775,0.2871964302,0.0089939917,0.3264853633,0.4230448292,0.2967318107,0.3011003713,0.3961961477,0.9885427554,0.2419904796
0.4361298963,0.130983439,0.1723677865,0.2334797906,0.6909328824,0.4088047459,0.5870491743,0.3706801059,0.92369466,0.2564383433,0.6992876701,0.9324195176,0.4651825355,0.210152292,0.9327282551
0.5633208556,0.0899232298,0.921305537,0.7398919377,0.1877777465,0.6587185829,0.3859560846,0.0397799585,0.9764958169,0.4286913603,0.5037610285,0.4636816616,0.1393722795,0.2260579811,0.9044272557
0.8354148864,0.4164588693,0.0582060087,0.1159060507,0.4102506507,0.2379113132,0.7272823216,0.2932667917,0.8961137831,0.7701249938,0.2963440854,0.3842273595,0.4956762375,0.0702435105,0.1074788874
0.7745766481,0.9317596432,0.1709288477,0.5047377938,0.5133771915,0.5382426207,0.9141087987,0.3474491534,0.8276712254,0.556622092,0.3889326604,0.0896207376,0.584024754,0.3838095276,0.0239478509
0.1540882583,0.9345828177,0.4288657897,0.4944501633,0.0950187024,0.3948702357,0.608892578,0.03540398,0.4507193791,0.4122948188,0.1237663794,0.9086804381,0.9082819226,0.0218387798,0.7240321127
0.6909883698,0.7954315442,0.1075057947,0.2132716401,0.0036640143,0.7003089015,0.0485889981,0.8047865904,0.029852924,0.2163387384,0.5059891986,0.8627716967,0.2882951879,0.8220451775,0.093677601
